"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","YEAR - JUN ACREAGE","","STATE","MISSOURI","29","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","25,000",""
"SURVEY","2025","YEAR - JUN ACREAGE","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","140,000",""
"SURVEY","2025","YEAR - JUN ACREAGE","","STATE","OKLAHOMA","40","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","20,000",""
"SURVEY","2025","YEAR - JUN ACREAGE","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","90,000",""
"SURVEY","2025","YEAR - JUN ACREAGE","","STATE","TEXAS","48","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","250,000",""
"SURVEY","2025","YEAR - JUN ACREAGE","","STATE","VIRGINIA","51","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","32,000",""
"SURVEY","2025","YEAR - MAR ACREAGE","","STATE","ALABAMA","01","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","195,000",""
"SURVEY","2025","YEAR - MAR ACREAGE","","STATE","ARKANSAS","05","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","45,000",""
"SURVEY","2025","YEAR - MAR ACREAGE","","STATE","FLORIDA","12","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","180,000",""
"SURVEY","2025","YEAR - MAR ACREAGE","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","950,000",""
"SURVEY","2025","YEAR - MAR ACREAGE","","STATE","MISSISSIPPI","28","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","30,000",""
"SURVEY","2025","YEAR - MAR ACREAGE","","STATE","MISSOURI","29","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","25,000",""
"SURVEY","2025","YEAR - MAR ACREAGE","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","135,000",""
"SURVEY","2025","YEAR - MAR ACREAGE","","STATE","OKLAHOMA","40","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","20,000",""
"SURVEY","2025","YEAR - MAR ACREAGE","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","90,000",""
"SURVEY","2025","YEAR - MAR ACREAGE","","STATE","TEXAS","48","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","250,000",""
"SURVEY","2025","YEAR - MAR ACREAGE","","STATE","VIRGINIA","51","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","30,000",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","ALABAMA","01","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","195,000",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","ARKANSAS","05","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","48,000",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","FLORIDA","12","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","175,000",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","920,000",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","MISSISSIPPI","28","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","21,000",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","MISSOURI","29","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","27,000",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","140,000",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","OKLAHOMA","40","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","20,000",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","OTHER STATES","","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","90,000",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","TEXAS","48","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","285,000",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","VIRGINIA","51","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","33,000",""
"SURVEY","2024","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","190,000",""
"SURVEY","2024","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","45,000",""
"SURVEY","2024","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","165,000",""
"SURVEY","2024","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","850,000",""
"SURVEY","2024","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","26,000",""
"SURVEY","2024","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","24,000",""
"SURVEY","2024","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","130,000",""
"SURVEY","2024","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","19,000",""
"SURVEY","2024","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2024","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","82,000",""
"SURVEY","2024","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","240,000",""
"SURVEY","2024","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","30,000",""
"SURVEY","2024","YEAR - AUG FORECAST","","STATE","ALABAMA","01","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","190,000",""
"SURVEY","2024","YEAR - AUG FORECAST","","STATE","ARKANSAS","05","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","45,000",""
"SURVEY","2024","YEAR - AUG FORECAST","","STATE","FLORIDA","12","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","170,000",""
"SURVEY","2024","YEAR - AUG FORECAST","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","850,000",""
"SURVEY","2024","YEAR - AUG FORECAST","","STATE","MISSISSIPPI","28","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","26,000",""
"SURVEY","2024","YEAR - AUG FORECAST","","STATE","MISSOURI","29","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","23,000",""
"SURVEY","2024","YEAR - AUG FORECAST","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","130,000",""
"SURVEY","2024","YEAR - AUG FORECAST","","STATE","OKLAHOMA","40","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","18,000",""
"SURVEY","2024","YEAR - AUG FORECAST","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","83,000",""
"SURVEY","2024","YEAR - AUG FORECAST","","STATE","TEXAS","48","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","235,000",""
"SURVEY","2024","YEAR - AUG FORECAST","","STATE","VIRGINIA","51","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","30,000",""
"SURVEY","2024","YEAR - JUN ACREAGE","","STATE","ALABAMA","01","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","170,000",""
"SURVEY","2024","YEAR - JUN ACREAGE","","STATE","ARKANSAS","05","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","35,000",""
"SURVEY","2024","YEAR - JUN ACREAGE","","STATE","FLORIDA","12","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","170,000",""
"SURVEY","2024","YEAR - JUN ACREAGE","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","850,000",""
"SURVEY","2024","YEAR - JUN ACREAGE","","STATE","MISSISSIPPI","28","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","21,000",""
"SURVEY","2024","YEAR - JUN ACREAGE","","STATE","MISSOURI","29","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","22,000",""
"SURVEY","2024","YEAR - JUN ACREAGE","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","125,000",""
"SURVEY","2024","YEAR - JUN ACREAGE","","STATE","OKLAHOMA","40","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","15,000",""
"SURVEY","2024","YEAR - JUN ACREAGE","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","85,000",""
"SURVEY","2024","YEAR - JUN ACREAGE","","STATE","TEXAS","48","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","240,000",""
"SURVEY","2024","YEAR - JUN ACREAGE","","STATE","VIRGINIA","51","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","24,000",""
"SURVEY","2024","YEAR - MAR ACREAGE","","STATE","ALABAMA","01","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","180,000",""
"SURVEY","2024","YEAR - MAR ACREAGE","","STATE","ARKANSAS","05","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","35,000",""
"SURVEY","2024","YEAR - MAR ACREAGE","","STATE","FLORIDA","12","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","170,000",""
"SURVEY","2024","YEAR - MAR ACREAGE","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","820,000",""
"SURVEY","2024","YEAR - MAR ACREAGE","","STATE","MISSISSIPPI","28","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","20,000",""
"SURVEY","2024","YEAR - MAR ACREAGE","","STATE","MISSOURI","29","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","22,000",""
"SURVEY","2024","YEAR - MAR ACREAGE","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","120,000",""
"SURVEY","2024","YEAR - MAR ACREAGE","","STATE","OKLAHOMA","40","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","15,000",""
"SURVEY","2024","YEAR - MAR ACREAGE","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","85,000",""
"SURVEY","2024","YEAR - MAR ACREAGE","","STATE","TEXAS","48","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","160,000",""
"SURVEY","2024","YEAR - MAR ACREAGE","","STATE","VIRGINIA","51","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","24,000",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","ALABAMA","01","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","190,000",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","ARKANSAS","05","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","45,000",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","FLORIDA","12","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","170,000",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","850,000",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","MISSISSIPPI","28","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","26,000",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","MISSOURI","29","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","23,000",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","130,000",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","OKLAHOMA","40","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","18,000",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","OTHER STATES","","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","83,000",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","TEXAS","48","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","240,000",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","VIRGINIA","51","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","30,000",""
"SURVEY","2023","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","175,000",""
"SURVEY","2023","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","35,000",""
"SURVEY","2023","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","160,000",""
"SURVEY","2023","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","775,000",""
"SURVEY","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","18,000",""
"SURVEY","2023","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","11,000",""
"SURVEY","2023","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","124,000",""
"SURVEY","2023","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","16,000",""
"SURVEY","2023","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","77,000",""
"SURVEY","2023","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","225,000",""
"SURVEY","2023","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","29,000",""
"SURVEY","2023","YEAR - JUN ACREAGE","","STATE","ALABAMA","01","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","170,000",""
"SURVEY","2023","YEAR - JUN ACREAGE","","STATE","ARKANSAS","05","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","35,000",""
"SURVEY","2023","YEAR - JUN ACREAGE","","STATE","FLORIDA","12","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","175,000",""
"SURVEY","2023","YEAR - JUN ACREAGE","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","760,000",""
"SURVEY","2023","YEAR - JUN ACREAGE","","STATE","MISSISSIPPI","28","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","16,000",""
"SURVEY","2023","YEAR - JUN ACREAGE","","STATE","NEW MEXICO","35","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","6,000",""
